WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
29,manual-main-128832,Media-Encode-CNL-PreETM,05:57:50,143:30:42,53:54:07,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-CNL-PreETM,05:57:50,143:30:42,53:54:07,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-CNL-PreETM,05:57:50,143:30:42,53:54:07,55:56:16,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-KBL-PreETM,04:10:03,04:10:03,20:24:36,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-KBL-PreETM,04:10:03,04:10:03,20:24:36,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-KBL-PreETM,04:10:03,04:10:03,20:24:36,55:56:16,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-Pre-ETM-BXT-Android,08:03:41,08:03:42,16:51:50,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-Pre-ETM-BXT-Android,08:03:41,08:03:42,16:51:50,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-Pre-ETM-BXT-Android,08:03:41,08:03:42,16:51:50,55:56:16,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-BXT-PreETM,12:05:07,58:52:12,92:46:37,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-BXT-PreETM,12:05:07,58:52:12,92:46:37,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Encode-BXT-PreETM,12:05:07,58:52:12,92:46:37,55:56:16,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Decode-CNL-PreETM,06:30:13,06:30:13,47:26:29,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Decode-CNL-PreETM,06:30:13,06:30:13,47:26:29,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Decode-CNL-PreETM,06:30:13,06:30:13,47:26:29,55:56:16,143:33:41,01:13:30,44:47:11
